code,name,r,g,b,白,黒,赤,黄,青,source
75-70D,,161,173,184,63,8,0,4,25,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=75&v=70&c=D
75-70L,,135,178,212,52,3,0,7,38,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=75&v=70&c=L
75-75A,,189,191,191,74,6,0,7,13,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=75&v=75&c=A
75-80A,,199,201,201,78,5,0,6,11,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=75&v=80&c=A
75-80B,,199,205,209,78,3,0,4,15,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=75&v=80&c=B
75-80D,,191,203,212,75,3,0,4,18,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=75&v=80&c=D
75-80H,,183,208,228,71,1,0,5,23,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=75&v=80&c=H
75-85A,,214,216,215,84,2,0,6,8,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=75&v=85&c=A
75-85B,,212,219,221,83,2,0,4,11,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=75&v=85&c=B
75-90A,,227,230,228,89,1,0,5,5,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=75&v=90&c=A
75-90B,,222,229,230,87,1,0,3,9,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=75&v=90&c=B
75-90D,,219,229,232,86,1,0,3,10,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=75&v=90&c=D
77-30H,,41,74,101,16,36,0,3,45,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=77&v=30&c=H
77-70D,,171,176,185,67,7,0,4,22,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=77&v=70&c=D
77-70H,,160,175,199,62,5,0,5,28,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=77&v=70&c=H
79-70L,,165,172,209,64,3,0,4,29,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=79&v=70&c=L
82-20H,,29,45,73,11,51,0,1,37,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=82&v=20&c=H
82-50D,,117,121,133,46,23,0,3,28,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=82&v=50&c=D
82-50H,,122,118,145,46,19,6,3,26,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=82&v=50&c=H
82-60H,,138,148,173,54,10,0,4,32,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=82&v=60&c=H
82-70H,,176,173,200,67,5,4,3,21,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=82&v=70&c=H
82-80D,,192,203,210,75,3,0,4,18,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=82&v=80&c=D
85-20D,,40,31,49,12,65,14,0,9,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=85&v=20&c=D
85-30D,,71,61,75,24,50,19,1,6,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=85&v=30&c=D
85-30H,,74,56,86,22,44,23,1,10,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=85&v=30&c=H
85-40D,,97,90,105,35,35,16,1,13,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=85&v=40&c=D
85-50D,,123,117,129,46,24,16,2,12,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=85&v=50&c=D
85-60B,,148,144,151,56,17,15,2,10,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=85&v=60&c=B
85-60D,,148,144,157,56,15,10,2,17,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=85&v=60&c=D
85-60H,,150,141,165,55,13,13,2,17,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=85&v=60&c=H
85-70A,,173,172,173,67,10,18,2,3,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=85&v=70&c=A
85-70B,,177,174,178,68,9,15,2,6,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=85&v=70&c=B
85-70D,,176,171,180,67,9,13,2,9,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=85&v=70&c=D
85-70H,,177,168,190,66,6,12,2,14,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=85&v=70&c=H
85-70L,,182,166,204,65,4,13,3,15,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=85&v=70&c=L
85-75A,,186,185,186,73,7,16,1,3,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=85&v=75&c=A
85-80A,,201,201,201,79,21,0,0,0,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=85&v=80&c=A
85-80B,,201,201,204,79,4,0,2,15,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=85&v=80&c=B
85-80D,,200,197,204,77,4,8,2,9,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=85&v=80&c=D
85-80H,,207,198,218,77,2,9,2,10,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=85&v=80&c=H
85-85A,,218,217,216,85,2,5,5,3,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=85&v=85&c=A
85-85B,,219,218,220,85,2,6,1,6,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=85&v=85&c=B
85-90A,,231,230,229,90,1,3,4,2,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=85&v=90&c=A
85-90B,,231,230,230,90,1,6,1,2,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=85&v=90&c=B
85-90D,,234,231,234,90,1,7,1,1,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=85&v=90&c=D
87-30H,,80,54,86,21,44,29,1,5,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=87&v=30&c=H
87-40H,,109,85,112,33,32,29,1,5,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=87&v=40&c=H
87-50D,,123,118,126,46,26,17,2,9,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=87&v=50&c=D
87-60H,,161,140,162,55,13,26,2,4,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=87&v=60&c=H
87-70D,,172,172,179,67,9,0,3,21,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=87&v=70&c=D
87-70H,,176,167,187,65,7,13,2,13,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=87&v=70&c=H
87-80D,,196,198,203,77,4,0,3,16,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=87&v=80&c=D
89-30H,,84,54,79,21,45,31,1,2,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=89&v=30&c=H
89-70H,,194,167,185,65,6,23,2,4,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=89&v=70&c=H
92-20H,,55,32,51,12,62,25,0,1,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=92&v=20&c=H
92-50H,,134,110,124,43,23,29,2,3,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=92&v=50&c=H
92-70L,,196,154,181,60,5,28,3,4,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=92&v=70&c=L
92-80D,,200,198,199,78,5,13,1,3,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=92&v=80&c=D
92-80H,,220,191,204,74,2,18,2,4,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=92&v=80&c=H
95-20D,,48,30,42,12,66,21,0,1,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=95&v=20&c=D
95-30D,,83,60,68,23,46,28,1,2,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=95&v=30&c=D
